Var1	Sample_no	Var2	Species	Freq
3467	1	S8APX1	Ichneumonidae_cluster239	0
3482	1	S8APX1	Ichneumonidae_cluster311	0
3497	1	S8APX1	Ichneumonidae_cluster319	0
3512	1	S8APX1	Ichneumonidae_cluster332	0
3527	1	S8APX1	Ichneumonidae_cluster441	0
3542	1	S8APX1	Ichneumonidae_cluster512	0
3557	1	S8APX1	Ichneumonidae_cluster580	0
3572	1	S8APX1	Ichneumonidae_cluster615	0
3587	1	S8APX1	Ichneumonidae_cluster64	0
3602	1	S8APX1	Ichneumonidae_cluster656	0
3617	1	S8APX1	Ichneumonidae_cluster73	0
3632	1	S8APX1	Ichneumonidae_cluster743	0
3647	1	S8APX1	Ichneumonidae_cluster867	0
3662	1	S8APX1	Ichneumonidae_cluster882	0
3677	1	S8APX1	Isotomidae_cluster8	0
3692	1	S8APX1	Latridiidae_cluster1	0
3707	1	S8APX1	Latridiidae_cluster10	0
3722	1	S8APX1	Latridiidae_cluster15	0
3737	1	S8APX1	Latridiidae_cluster2	1
3752	1	S8APX1	Latridiidae_cluster3	0
3767	1	S8APX1	Latridiidae_cluster4	0
3782	1	S8APX1	Latridiidae_cluster7	0
3797	1	S8APX1	Linyphiidae_cluster112	0
3812	1	S8APX1	Linyphiidae_cluster20	0
3827	1	S8APX1	Linyphiidae_cluster57	0
3842	1	S8APX1	Linyphiidae_cluster87	0
3857	1	S8APX1	Linyphiidae_cluster89	0
3872	1	S8APX1	Liocranidae_cluster1	0
3887	1	S8APX1	Lonchaeidae_cluster1	0
3902	1	S8APX1	Lycaenidae_cluster1	0
3917	1	S8APX1	Lygaeidae_cluster1	0
3932	1	S8APX1	Lymexylidae_cluster1	1
3947	1	S8APX1	Lyonetiidae_cluster4	0
3962	1	S8APX1	Lyonetiidae_cluster5	0
3977	1	S8APX1	Lypusidae_cluster2	0
3992	1	S8APX1	Megaspilidae_cluster5	0
4007	1	S8APX1	Milichiidae_cluster1	0
4022	1	S8APX1	Miridae_cluster1	0
4037	1	S8APX1	Miridae_cluster2	0
4052	1	S8APX1	Miridae_cluster20	0
4067	1	S8APX1	Miridae_cluster26	0
4082	1	S8APX1	Miridae_cluster35	0
4097	1	S8APX1	Miridae_cluster7	0
4112	1	S8APX1	Monotomidae_cluster1	0
4127	1	S8APX1	Muscidae_cluster11	0
4142	1	S8APX1	Muscidae_cluster122	0
4157	1	S8APX1	Muscidae_cluster14	4
4172	1	S8APX1	Muscidae_cluster2	0
4187	1	S8APX1	Muscidae_cluster23	0
4202	1	S8APX1	Muscidae_cluster28	18
4217	1	S8APX1	Muscidae_cluster31	0
4232	1	S8APX1	Muscidae_cluster39	0
4247	1	S8APX1	Muscidae_cluster54	7
4262	1	S8APX1	Muscidae_cluster73	0
4277	1	S8APX1	Mycetophagidae_cluster1	0
4292	1	S8APX1	Mycetophilidae_cluster1	0
4307	1	S8APX1	Mycetophilidae_cluster103	1
4322	1	S8APX1	Mycetophilidae_cluster11	1
4337	1	S8APX1	Mycetophilidae_cluster113	0
4352	1	S8APX1	Mycetophilidae_cluster148	0
4367	1	S8APX1	Mycetophilidae_cluster152	0
4382	1	S8APX1	Mycetophilidae_cluster177	1
4397	1	S8APX1	Mycetophilidae_cluster185	2
4412	1	S8APX1	Mycetophilidae_cluster190	0
4427	1	S8APX1	Mycetophilidae_cluster23	1
4442	1	S8APX1	Mycetophilidae_cluster27	2
4457	1	S8APX1	Mycetophilidae_cluster270	0
4472	1	S8APX1	Mycetophilidae_cluster284	0
4487	1	S8APX1	Mycetophilidae_cluster29	0
4502	1	S8APX1	Mycetophilidae_cluster3	0
