cluster	S8APX1_L	SLWUQ2_L	S5MEZA_L	SY34ZS_L	STHFJP_L	SKYQAL_L	SIRUBH_L	SCNXZK_L	SUXEKB_L	SQVR9H_L	SIUQ3G_L	SG3CB2_L	SBWPUY_L	SC1YIM_L	SACBBR_L	BLANK_L	S8APX1_H	SLWUQ2_H	S5MEZA_H	SY34ZS_H	STHFJP_H	SKYQAL_H	SIRUBH_H	SCNXZK_H	SUXEKB_H	SQVR9H_H	SIUQ3G_H	SG3CB2_H	SBWPUY_H	SC1YIM_H	SACBBR_H	POS	NEG_PCR	NEG
Philodromidae_cluster1	0	449	0	0	0	0	0	0	4660	0	3419	0	0	0	0	0	0	456	0	0	0	0	0	0	136	0	12149	0	0	0	0	0	0	0
Chironomidae_cluster18	0	2331	0	0	0	5262	0	0	0	0	0	0	0	0	0	0	0	820	0	0	0	581	0	0	0	0	0	0	0	0	0	0	0	0
Sciaridae_cluster93	1010	48	0	0	0	0	0	0	348	0	0	0	0	0	0	0	2582	108	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0
Phoridae_cluster4	1052	478	404	76	958	0	0	0	593	0	0	0	0	0	0	0	2575	1266	782	230	1479	0	0	0	621	0	0	0	0	0	0	672	0	0
Chironomidae_cluster32	2869	264	0	13032	0	2469	0	0	7453	57	0	18783	0	0	0	0	1953	361	0	752	0	713	0	0	1414	0	0	5482	0	0	0	0	0	0
Cecidomyiidae_cluster2096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphididae_cluster15	0	286	0	0	0	0	810	0	450	0	896	529	0	0	569	0	0	108	0	0	0	0	206	0	51	0	38	132	0	0	174	0	0	0
Chironomidae_cluster532	0	545	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	889	0	0	0	0	0	0	0	0	0	0	0
Mycetophilidae_cluster23	135	564	3491	0	0	0	0	0	14654	10723	0	0	6258	0	0	0	372	797	998	0	0	0	0	0	5547	12142	0	0	1911	0	0	0	0	0
Sciaridae_cluster86	152	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	741	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scathophagidae_cluster7	1028	225	78	0	0	0	3213	0	13228	0	1446	0	981	0	0	0	32839	2683	2021	0	0	0	19463	0	17247	0	15148	0	4618	0	0	0	0	0
Miridae_cluster2	0	364	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0
Miridae_cluster7	0	679	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychodidae_cluster6	374	294	0	1724	0	18209	604	2319	0	0	0	0	0	0	0	0	1296	340	0	130	0	1232	331	493	0	0	1165	0	0	0	0	0	0	0
Ichneumonidae_cluster179	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chironomidae_cluster17	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0
