cluster;ELA001_H1;ELA001_H2_pf;ELA001_H3;ELA001_H4_pf;ELA001_H5;ELA001_H6;ELA001_H7;ELA001_H8_pf;ELA001_H9;ELA001_H10;ELA001_H11;ELA001_H12;ELA001_H13;ELA001_H14;ELA001_H15
Gryllidae_cluster1;19848;5217;1851;6290;3683;8179;6911;8833;5622;27649;14255;6398;3398;13094;21341
Gryllidae_cluster2;2534;2692;815;2649;1694;1798;3514;3055;1161;3113;1099;2326;1068;6910;4047
Halolaelapidae_cluster3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heleomyzidae_cluster1;0;13672;5196;5274;3694;0;0;0;0;0;0;0;0;0;13867
Heleomyzidae_cluster10;0;0;0;0;0;0;0;0;4043;0;0;0;3493;0;0
Heleomyzidae_cluster11;0;0;0;0;0;0;0;0;0;0;0;0;2772;0;0
Heleomyzidae_cluster23;0;0;1131;0;0;0;0;0;0;0;0;0;0;0;0
Heleomyzidae_cluster45;449;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hybotidae_cluster119;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0
Hybotidae_cluster98;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0
Hypogastruridae_cluster2;0;0;0;0;0;0;0;0;0;250;0;24;8;0;0
Ichneumonidae_cluster1211;0;0;0;352;0;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster123;0;0;0;51;297;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster125;0;0;0;5096;0;0;0;14071;0;0;0;0;0;0;0
Ichneumonidae_cluster132;0;0;0;2571;0;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster179;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster221;0;914;0;0;0;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster239;0;0;0;0;0;0;0;184;0;0;0;0;0;0;0
Ichneumonidae_cluster311;0;0;0;0;0;0;0;0;2138;0;0;0;0;0;0
Ichneumonidae_cluster319;0;0;73;618;0;79;0;259;0;0;0;0;0;0;0
Ichneumonidae_cluster332;0;0;0;0;528;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster441;0;0;0;0;0;0;0;0;0;0;0;0;2274;0;0
Ichneumonidae_cluster512;0;0;0;523;0;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster580;0;0;0;0;0;0;0;0;0;0;532;0;0;0;0
Ichneumonidae_cluster615;0;0;0;0;0;0;0;0;4012;0;0;0;0;0;0
Ichneumonidae_cluster64;0;0;0;0;5333;0;0;12402;0;0;0;0;0;0;0
Ichneumonidae_cluster656;0;281;0;1383;0;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster73;0;0;0;0;0;0;0;0;0;871;0;0;0;0;0
Ichneumonidae_cluster743;0;0;0;261;0;0;0;0;0;0;0;0;0;0;0
Ichneumonidae_cluster867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;384
Ichneumonidae_cluster882;0;234;0;0;0;0;1646;0;0;0;0;0;0;0;0
Isotomidae_cluster8;0;0;0;0;0;0;269;0;0;0;0;0;0;0;0
Latridiidae_cluster1;0;0;0;106;0;73;0;398;0;0;5;0;0;0;0
Latridiidae_cluster10;0;0;0;69;0;0;0;0;0;0;449;95;0;0;0
Latridiidae_cluster15;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0
Latridiidae_cluster2;56;48;0;0;0;0;0;0;106;0;0;457;0;0;0
Latridiidae_cluster3;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0
Latridiidae_cluster4;0;0;0;0;0;0;0;0;0;0;0;520;0;0;0
Latridiidae_cluster7;0;28;0;169;0;729;0;0;0;0;0;0;0;0;0
Linyphiidae_cluster112;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
Linyphiidae_cluster20;81;37;0;0;0;628;0;0;0;0;0;0;0;0;0
Linyphiidae_cluster57;0;0;0;0;0;0;0;0;0;0;0;78;0;0;272
Linyphiidae_cluster87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linyphiidae_cluster89;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0
Liocranidae_cluster1;0;0;0;0;0;0;0;0;0;0;0;7499;0;0;0
Lonchaeidae_cluster1;0;0;0;3810;0;0;0;0;0;0;0;0;0;0;0
Lycaenidae_cluster1;0;0;0;0;0;0;78431;0;0;0;0;0;0;0;0
